calculated_host_listings_count,availability_365,neighbourhood_n,room_type_n,price
0.0,0.0,0.004545454545454545,0.0,99
0.0,0.0,0.35909090909090907,0.5,64
0.0,0.4191780821917808,0.16818181818181818,0.0,50
0.3333333333333333,0.20273972602739726,0.09545454545454544,0.0,50
0.0,0.7863013698630137,0.09999999999999999,0.0,45
0.0,0.4575342465753425,0.031818181818181815,0.5,244
0.0,0.1917808219178082,0.05454545454545454,0.5,265
0.0,0.0,0.05454545454545454,0.5,200
0.0,0.0,0.09090909090909091,0.5,450
0.0,0.0,0.2545454545454545,0.0,49
0.0,0.0,0.049999999999999996,0.5,250
0.0,0.20821917808219179,0.049999999999999996,0.5,250
0.0,0.0,0.05454545454545454,0.0,101
0.0,0.0,0.3090909090909091,0.0,90
0.0,0.36712328767123287,0.15454545454545454,0.5,165
0.0,0.9972602739726028,0.031818181818181815,0.0,561
0.3333333333333333,1.0,0.06818181818181818,0.0,100
0.0,0.0547945205479452,0.2727272727272727,0.0,97
0.0,0.40821917808219177,0.10454545454545454,0.5,250
0.0,0.06301369863013699,0.12727272727272726,0.0,125
0.0,0.8493150684931506,0.07727272727272727,0.0,125
0.0,0.0,0.13636363636363635,0.0,40
0.0,0.0,0.05454545454545454,0.5,200
0.0,0.4849315068493151,0.05454545454545454,0.5,150
0.0,0.008219178082191782,0.40909090909090906,0.5,75
0.0,0.0,0.15454545454545454,0.5,125
0.0,0.0,0.05454545454545454,0.0,70
0.0,0.7178082191780822,0.07272727272727272,0.5,185
0.3333333333333333,0.16986301369863013,0.3090909090909091,0.5,155
0.0,0.6,0.06363636363636363,0.5,280
0.0,0.0,0.10909090909090909,0.0,83
0.0,0.0,0.08636363636363636,0.5,450
0.0,0.0,0.15,0.5,50
0.0,0.0,0.22272727272727272,0.5,75
0.0,0.1917808219178082,0.05454545454545454,0.5,347
1.0,0.0,0.09090909090909091,0.5,299
0.3333333333333333,0.33972602739726027,0.12272727272727273,0.5,205
0.0,0.0,0.02727272727272727,0.0,60
0.0,0.0,0.12727272727272726,0.5,120
0.0,0.04657534246575343,0.06363636363636363,0.5,300
0.0,0.0,0.02727272727272727,0.5,125
0.3333333333333333,0.0,0.02727272727272727,0.5,142
0.0,0.06027397260273973,0.004545454545454545,0.5,175
0.0,0.3561643835616438,0.02727272727272727,0.5,179
1.0,0.8191780821917808,0.21363636363636362,0.5,99
0.6666666666666667,0.6876712328767123,0.03636363636363636,0.0,99
0.0,0.0,0.05454545454545454,0.5,125
0.0,0.0,0.13636363636363635,0.0,100
0.6666666666666667,0.021917808219178082,0.02727272727272727,0.0,40
0.0,0.0,0.23636363636363636,0.5,800
0.0,0.6712328767123288,0.2545454545454545,0.5,129
0.3333333333333333,0.9972602739726028,0.03636363636363636,0.0,128
0.0,0.20821917808219179,0.4818181818181818,0.5,150
0.0,0.0,0.004545454545454545,1.0,130
0.3333333333333333,0.7287671232876712,0.00909090909090909,0.5,250
0.0,0.15342465753424658,0.02727272727272727,0.5,160
0.0,0.40821917808219177,0.02727272727272727,0.5,120
0.0,0.0,0.5863636363636363,0.0,60
0.0,0.6684931506849315,0.031818181818181815,0.5,428
0.0,0.0,0.00909090909090909,0.0,172
0.0,0.0,0.031818181818181815,0.0,100
0.0,0.0,0.24545454545454545,0.0,35
0.6666666666666667,0.7342465753424657,0.10454545454545454,0.5,225
0.0,0.29863013698630136,0.06363636363636363,0.0,175
0.6666666666666667,0.0,0.09545454545454544,0.5,130
0.6666666666666667,0.0,0.05454545454545454,0.0,40
0.0,0.9561643835616438,0.09545454545454544,0.0,48
0.0,0.0,0.013636363636363636,0.0,55
0.0,0.0,0.05454545454545454,0.0,98
0.0,0.8082191780821918,0.049999999999999996,0.0,160
0.0,0.2273972602739726,0.2545454545454545,0.5,135
0.3333333333333333,0.0,0.19545454545454544,0.0,150
0.0,0.915068493150685,0.24545454545454545,0.0,45
0.0,0.0,0.2545454545454545,0.0,48
0.0,0.715068493150685,0.11363636363636363,0.5,225
0.0,0.0,0.06818181818181818,0.0,74
