number_of_reviews,minimum_nights,calculated_host_listings_count,availability_365,neighbourhood_n,room_type_n,price
0.07154213036565978,0.0,0.3333333333333333,0.9726027397260274,0.004545454545454545,0.5,225
0.0,0.0016012810248198558,0.0,1.0,0.00909090909090909,0.0,150
0.4292527821939587,0.0,0.0,0.5315068493150685,0.013636363636363636,0.5,89
0.014308426073131956,0.007205764611689351,0.0,0.0,0.01818181818181818,0.5,80
0.11764705882352942,0.0016012810248198558,0.0,0.35342465753424657,0.022727272727272728,0.5,200
0.07790143084260732,0.03522818254603683,0.0,0.0,0.02727272727272727,0.0,60
0.6836248012718601,0.0008006405124099279,0.0,0.6027397260273972,0.031818181818181815,0.0,79
0.1875993640699523,0.0008006405124099279,0.0,0.0,0.03636363636363636,0.0,79
0.25437201907790147,0.0,1.0,0.5150684931506849,0.04090909090909091,0.5,150
0.08426073131955486,0.0032025620496397116,0.0,0.016438356164383564,0.03636363636363636,0.5,135
0.2988871224165342,0.0008006405124099279,0.0,0.10684931506849316,0.031818181818181815,0.0,85
0.2655007949125596,0.0024019215372297837,0.6666666666666667,0.8602739726027397,0.045454545454545456,0.0,89
0.1796502384737679,0.0008006405124099279,0.0,0.9123287671232877,0.03636363636363636,0.0,85
0.04292527821939587,0.07125700560448359,0.0,0.0,0.049999999999999996,0.5,120
0.23529411764705885,0.0008006405124099279,0.0,0.12602739726027398,0.05454545454545454,0.5,140
0.314785373608903,0.0008006405124099279,0.0,0.8794520547945206,0.05909090909090909,0.5,215
0.41335453100158986,0.0,0.0,0.03287671232876713,0.06363636363636363,0.0,140
0.08426073131955486,0.0016012810248198558,0.0,0.057534246575342465,0.06818181818181818,0.5,99
0.0,0.004803843074459567,0.3333333333333333,0.6821917808219178,0.01818181818181818,0.5,190
0.014308426073131956,0.0016012810248198558,0.0,0.0,0.05454545454545454,0.5,299
0.1399046104928458,0.0008006405124099279,0.3333333333333333,0.6383561643835617,0.02727272727272727,0.5,120
0.030206677265500796,0.0,0.3333333333333333,0.23287671232876714,0.07727272727272727,0.0,60
0.0,0.0024019215372297837,0.0,0.0,0.08181818181818182,0.0,80
0.09220985691573927,0.007205764611689351,0.0,0.2054794520547945,0.031818181818181815,0.5,150
0.17170111287758347,0.0016012810248198558,0.6666666666666667,0.852054794520548,0.08181818181818182,0.0,44
0.046104928457869634,0.010408326661329063,0.0,0.18356164383561643,0.08636363636363636,0.5,180
0.38473767885532595,0.0016012810248198558,0.6666666666666667,0.9726027397260274,0.00909090909090909,0.0,50
0.1399046104928458,0.0008006405124099279,0.0,0.6986301369863014,0.00909090909090909,0.0,52
0.31319554848966613,0.0024019215372297837,0.6666666666666667,0.7780821917808219,0.09090909090909091,0.0,55
0.43402225755166934,0.0016012810248198558,0.6666666666666667,0.9835616438356164,0.00909090909090909,0.0,50
0.11764705882352942,0.0,0.3333333333333333,0.736986301369863,0.02727272727272727,0.0,70
0.2670906200317965,0.0024019215372297837,0.6666666666666667,0.9315068493150686,0.045454545454545456,0.0,89
0.0,0.047237790232185745,0.0,1.0,0.02727272727272727,0.0,35
0.3672496025437202,0.0008006405124099279,0.3333333333333333,0.06027397260273973,0.09545454545454544,0.5,85
0.0,0.0,0.0,1.0,0.09999999999999999,0.0,150
0.34022257551669316,0.0,1.0,0.5150684931506849,0.10454545454545454,1.0,40
0.3895071542130366,0.0008006405124099279,0.3333333333333333,0.263013698630137,0.08636363636363636,0.0,68
0.02384737678855326,0.0016012810248198558,0.0,0.9452054794520548,0.045454545454545456,0.5,120
0.0397456279809221,0.004803843074459567,0.0,0.852054794520548,0.05909090909090909,0.0,120
0.12877583465818762,0.0024019215372297837,0.0,0.7479452054794521,0.03636363636363636,0.0,135
0.15421303656597776,0.004803843074459567,0.0,0.8465753424657534,0.00909090909090909,0.5,150
0.017488076311605726,0.02241793434747798,0.0,0.2602739726027397,0.10909090909090909,0.5,150
0.3942766295707472,0.0016012810248198558,0.0,0.589041095890411,0.11363636363636363,0.0,130
0.09697933227344993,0.004803843074459567,0.0,0.726027397260274,0.02727272727272727,0.5,110
0.017488076311605726,0.0016012810248198558,0.0,0.0,0.02727272727272727,0.5,115
0.21462639109697934,0.0016012810248198558,0.3333333333333333,0.526027397260274,0.05909090909090909,0.0,80
0.17806041335453102,0.0,0.6666666666666667,0.6876712328767123,0.02727272727272727,0.0,80
0.11605723370429254,0.0008006405124099279,0.0,0.8273972602739726,0.03636363636363636,0.5,151
0.13036565977742448,0.0016012810248198558,0.0,0.3835616438356164,0.05454545454545454,0.5,228
0.5214626391096979,0.0008006405124099279,0.0,0.6410958904109589,0.09090909090909091,0.5,144
0.030206677265500796,0.004803843074459567,0.0,0.7041095890410959,0.11818181818181818,0.5,200
0.16693163751987283,0.023218574859887906,0.0,0.0821917808219178,0.05454545454545454,0.5,150
0.030206677265500796,0.0032025620496397116,0.0,0.8246575342465754,0.10454545454545454,0.0,110
0.4594594594594595,0.0008006405124099279,0.3333333333333333,0.8054794520547945,0.031818181818181815,0.0,69
0.21939586645469,0.0024019215372297837,0.6666666666666667,0.8767123287671232,0.09090909090909091,0.0,49
0.033386327503974564,0.023218574859887906,0.0,0.42191780821917807,0.12272727272727273,0.5,180
0.06677265500794913,0.0008006405124099279,0.0,0.7205479452054795,0.05454545454545454,0.0,80
0.007949125596184421,0.14331465172137708,0.0,0.4931506849315069,0.06363636363636363,0.5,375
0.10492845786963435,0.0008006405124099279,0.3333333333333333,0.6328767123287671,0.12727272727272726,0.5,250
0.2273449920508744,0.023218574859887906,0.3333333333333333,0.8136986301369863,0.1318181818181818,0.5,200
0.04292527821939587,0.004803843074459567,0.3333333333333333,0.8,0.013636363636363636,0.0,55
0.30365659777424486,0.023218574859887906,0.0,0.5232876712328767,0.031818181818181815,0.0,52
